FID,sta_seq,name,ylat,xlong,Strahler,HydroID,StrMi,SqMi,SqKm,Chg,OBJECTID,DrainID,SHAPE_Leng,SHAPE_Area,FNODE_,TNODE_,LPOLY_,RPOLY_,HSI_State_,NHDRCH_,NHDRCH_ID,FLOW,Enabled,checked,Div,ICCnt,ICSum,POTW,IC_Avg,SD_Pct,Q99,DIV_CFS,POTW_CFS,DivQ99,POTWQ99,DamStrMi,ICMetric,DIVMetric,DAMMetric,STPMetric,SumMetric,HSI
555,15016,Titicus River,41.330399999999997,-73.529200000000003,3,101000710,8.775932707999999,5.253034583000000,13.605000000000000,0,33124,101000710,16800.000015599998733,6255000.242049999535084,793,779,172,172,1922.187101120000079,768,3570,0,1,0,0.000000000000000,15109.000000000000000,63040.000000000000000,0.000000000000000,4.172347607390000,6.546303009560000,0.169421036370000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.227896004510000,2.000000000000000,1.000000000000000,3.000000000000000,1.000000000000000,7.000000000000000,2.000000000000000
556,18789,Muddy River,41.398122999999998,-72.815118999999996,3,104000631,26.677118000000000,12.527421000000000,32.445999999999998,0,35029,104000631,20879.996947399999044,7587000.244529999792576,633,727,1,1,6945.189123420000215,689,44339,1,1,0,19.250000000000000,36058.000000000000000,209359.000000000000000,0.000000000000000,5.806173387320000,14.191699951700000,0.718610559230000,29.784151512499999,0.000000000000000,41.446860374899998,0.000000000000000,0.112455925710000,3.000000000000000,3.000000000000000,3.000000000000000,1.000000000000000,10.000000000000000,3.000000000000000
557,15364,West Branch Saugatuck River,41.171799999999998,-73.364300000000000,4,102001377,42.702759000000000,11.365710000000000,29.437000000000001,0,42605,102001377,7859.998727320000398,2113200.065380000043660,23225,22331,0,0,2370.866931479999948,1377,23217,1,1,0,0.260000000000000,34395.000000000000000,102302.000000000000000,0.000000000000000,2.974327663900000,5.296409317240000,0.388659509820000,0.402279449000000,0.000000000000000,1.035043370440000,0.000000000000000,0.046835381290000,2.000000000000000,3.000000000000000,2.000000000000000,1.000000000000000,8.000000000000000,2.000000000000000
558,18137,SAUGATUCK RIVER,41.235840000000003,-73.344859999999997,4,102002124,102.260000000000005,36.009639000000000,93.265000000000001,0,42624,102002124,14639.998989600000641,6426900.081090000458062,39243,36912,0,0,3347.757069020000017,2124,39234,1,1,0,170.000000000000000,106298.000000000000000,106176.000000000000000,0.000000000000000,0.998852283200000,5.599919852850000,1.621090288500000,263.028870499999982,0.000000000000000,162.254300309999991,0.000000000000000,0.068452963040000,1.000000000000000,3.000000000000000,2.000000000000000,1.000000000000000,7.000000000000000,2.000000000000000
559,17448,Pequonnock River,41.320399999999999,-73.240499999999997,3,102002825,6.409044000000000,2.349620000000000,6.085000000000000,0,42694,102002825,11340.001290599999265,2323800.357609999831766,54845,54029,0,0,1814.578372369999897,2825,54836,1,1,0,0.000000000000000,7001.000000000000000,60317.000000000000000,0.000000000000000,8.615483502360000,11.774257817900001,0.085734860910000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,6.000000000000000,2.000000000000000
560,15239,East Branch Byram River,41.099499999999999,-73.683199999999999,3,102000513,5.749920000000000,1.574332000000000,4.078000000000000,0,43915,102000513,13320.003596399999878,5832899.987829999998212,7966,7233,0,0,2878.616440159999911,513,7959,1,1,0,0.000000000000000,4914.000000000000000,2877.000000000000000,0.000000000000000,0.585470085470000,4.096664960760000,0.030979604010000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.347830926340000,1.000000000000000,1.000000000000000,3.000000000000000,1.000000000000000,6.000000000000000,2.000000000000000
561,14293,Mianus River,41.080599999999997,-73.581199999999995,5,102000324,89.280000000000001,27.292695999999999,70.688000000000002,0,43979,102000324,23879.999510199999349,13723199.779799999669194,5772,3996,0,0,6250.215843060000225,324,5769,1,1,0,28.030000000000001,81826.000000000000000,115200.000000000000000,0.000000000000000,1.407865470630000,7.217765038530000,1.315774424350000,43.368819059499998,0.000000000000000,32.960679472800003,0.000000000000000,0.044802867380000,1.000000000000000,3.000000000000000,2.000000000000000,1.000000000000000,7.000000000000000,2.000000000000000
562,15857,Mill River,41.152099999999997,-73.272599999999997,5,102000817,94.560000000000002,32.392940000000003,83.897000000000006,0,44292,102000817,69419.993152700000792,56768401.273100003600121,17297,8147,0,0,18372.481634499999927,817,17288,1,1,0,992.990000000000009,96642.000000000000000,710226.000000000000000,0.000000000000000,7.349040789720000,7.645808373240000,1.667700892750000,1536.382577159999983,0.000000000000000,921.257872944000042,0.000000000000000,0.031725888320000,3.000000000000000,3.000000000000000,2.000000000000000,1.000000000000000,9.000000000000000,3.000000000000000
563,17455,West Branch Pequonnock River,41.301000000000002,-73.248900000000006,4,102002738,14.390000000000001,4.635952000000000,12.007000000000000,0,44320,102002738,28680.005658699999913,15928199.614900000393391,52671,50993,0,0,5486.892913890000273,2738,52665,1,1,0,113.290000000000006,13829.000000000000000,97876.000000000000000,0.000000000000000,7.077590570540000,21.194646489200000,0.263074892280000,175.285533759000003,0.000000000000000,666.295184012000050,0.000000000000000,0.000000000000000,3.000000000000000,3.000000000000000,1.000000000000000,1.000000000000000,8.000000000000000,2.000000000000000
564,18769,West Brook,41.883648999999998,-72.402877000000004,2,106003648,1.990000000000000,0.490000000000000,1.269000000000000,0,36485,106003648,23159.998485600001004,9406799.648879999294877,79265,80031,0,0,6926.305697320000036,3648,79278,1,1,0,0.000000000000000,1464.000000000000000,3133.000000000000000,0.000000000000000,2.140027322400000,1.633919657140000,0.004726845020000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,5.000000000000000,1.000000000000000
