Cruise,Start Date
HYJUL02,7/22/2002
HYJUL03,7/24/2003
HYJUL04,7/19/2004
HYJUL05,7/18/2005
HYJUL06,7/18/2006
HYJUL07,7/19/2007
HYJUL08,7/21/2008
HYJUL09,7/20/2009
HYJUL10,7/21/2010
HYJUL11,7/18/2011
HYJUL12,7/16/2012
HYJUL13,7/15/2013
HYJUL14,7/14/2014
HYJUL15,7/20/2015
HYJUL16,7/18/2016
HYJUL17,7/18/2017
HYJUL18,7/16/2018
HYJUL19,7/15/2019
HYJUL20,7/20/2020
HYJUL21,7/19/2021
HYJUL92,7/27/1992
HYJUL93,7/26/1993
HYJUL94,7/20/1994
HYJUL95,7/18/1995
HYJUL96,7/23/1996
HYJUL97,7/22/1997
HYJUL98,7/21/1998
HYJUL99,7/20/1999
HYJUN00,6/22/2000
HYJUN01,6/21/2001
HYJUN02,6/26/2002
HYJUN03,6/19/2003
HYJUN04,6/28/2004
HYJUN05,6/23/2005
HYJUN06,6/23/2006
HYJUN07,6/21/2007
HYJUN08,6/17/2008
HYJUN09,6/23/2009
HYJUN10,6/18/2010
HYJUN11,6/16/2011
HYJUN12,6/12/2012
HYJUN13,6/21/2013
HYJUN14,6/19/2014
HYJUN15,6/17/2015
HYJUN16,6/20/2016
HYJUN17,6/20/2017
HYJUN18,6/12/2018
HYJUN19,6/12/2019
HYJUN21,6/21/2021
HYJUN92,6/29/1992
HYJUN93,6/28/1993
HYJUN94,6/21/1994
HYJUN95,6/22/1995
HYJUN96,6/25/1996
HYJUN97,6/27/1997
HYJUN98,6/24/1998
HYJUN99,6/22/1999
HYSEP01,9/24/2001
HYSEP07,9/10/2007
HYSEP08,9/16/2008
HYSEP12,9/17/2012
HYSEP13,9/9/2013
HYSEP14,9/15/2014
HYSEP15,9/16/2015
HYSEP16,9/12/2016
HYSEP18,9/12/2018
HYSEP19,9/10/2019
HYSEP21,9/13/2021
HYSEP94,9/7/1994
HYSEP96,9/20/1996
HYSEP97,9/17/1997
HYSEP98,9/15/1998
IS06A94,6/27/1994
IS06A98,6/29/1998
IS06A99,6/30/1999
IS07A00,7/3/2000
IS07A92,7/7/1992
IS07A93,7/6/1993
IS07A96,7/1/1996
IS07B94,7/11/1994
IS07B95,7/10/1995
IS07B97,7/14/1997
IS07B98,7/13/1998
IS07B99,7/12/1999
IS07C92,7/21/1992
IS07C93,7/19/1993
IS07C96,7/15/1996
IS07D00,7/25/2000
IS07D94,7/26/1994
IS07D95,7/24/1995
IS07D97,7/28/1997
IS07D98,7/27/1998
IS07D99,7/26/1999
IS07E95,7/31/1995
IS07E96,7/29/1996
IS08A00,8/1/2000
IS08A91,8/5/1991
IS08A92,8/3/1992
IS08B93,8/9/1993
IS08B94,8/8/1994
IS08B96,8/12/1996
IS08B97,8/11/1997
IS08B98,8/10/1998
IS08B99,8/9/1999
IS08C91,8/21/1991
IS08C92,8/20/1992
IS08C93,8/16/1999
IS08C95,8/21/1995
IS08D00,8/21/2000
IS08D94,8/23/1994
IS08D95,8/28/1995
IS08D96,8/26/1996
IS08D97,8/25/1997
IS08D98,8/24/1998
IS08D99,8/23/1999
IS08E92,8/31/1992
IS08E93,8/30/1993
IS09A92,9/8/1992
IS09A98,9/8/1998
IS09A99,9/7/1999
IS09B00,9/11/2000
IS09B92,9/14/1992
IS09B93,9/13/1993
IS09B94,9/12/1999
IS09B95,9/11/1995
IS09B96,9/9/1996
IS09B99,9/13/1999
IS09C00,9/18/2000
IS09C96,9/16/1996
SSAUG00,8/4/2000
SSAUG01,8/1/2001
SSAUG02,8/28/2002
SSAUG03,8/27/2003
SSAUG06,7/27/2006
SSJUL00,7/25/2000
SSSEP00,9/1/2000
SSSEP01,9/12/2001
SSSEP02,9/18/2002
SSSEP04,9/7/2004
SSSEP05,9/15/2005
SSSEP06,9/14/2006
TRWLA,
TRWLJUN17,6/12/2017
TRWLMAY17,5/19/2017
TRWLOCT17,10/17/2017
TRWLSEP17,9/7/2017
WQAPR00,4/3/2000
WQAPR01,4/3/2001
WQAPR02,4/2/2002
WQAPR03,4/1/2003
WQAPR04,4/7/2004
WQAPR05,4/5/2005
WQAPR06,4/11/2006
WQAPR07,4/2/2007
WQAPR08,4/3/2008
WQAPR09,3/31/2009
WQAPR10,3/31/2010
WQAPR11,4/8/2011
WQAPR12,4/3/2012
WQAPR13,4/1/2013
WQAPR14,4/2/2014
WQAPR15,3/31/2015
WQAPR16,4/4/2016
WQAPR17,4/3/2017
WQAPR18,4/9/2018
WQAPR19,4/2/2019
WQAPR21,4/6/2021
WQAPR91,4/2/1991
WQAPR94,4/5/1994
WQAPR95,4/3/1995
WQAPR96,4/1/1996
WQAPR97,4/2/1997
WQAPR98,4/14/1998
WQAPR99,4/5/1999
WQAUG00,7/31/2000
WQAUG01,8/6/2001
WQAUG02,8/5/2002
WQAUG03,8/4/2003
WQAUG04,8/2/2004
WQAUG05,8/2/2005
WQAUG06,8/1/2006
WQAUG07,7/30/2007
WQAUG08,8/5/2008
WQAUG09,8/3/2009
WQAUG10,8/3/2010
WQAUG11,8/1/2011
WQAUG12,7/30/2012
WQAUG13,7/29/2013
WQAUG14,8/4/2014
WQAUG15,8/3/2015
WQAUG16,8/1/2016
WQAUG17,7/31/2017
WQAUG18,7/30/2018
WQAUG19,7/29/2019
WQAUG20,8/3/2020
WQAUG21,8/2/2021
WQAUG91,7/29/1991
WQAUG92,8/5/1992
WQAUG93,8/2/1993
WQAUG94,8/1/1994
WQAUG95,7/31/1995
WQAUG96,8/5/1996
WQAUG97,8/4/1997
WQAUG98,8/3/1998
WQAUG99,8/2/1999
WQDEC00,12/4/2000
WQDEC01,12/3/2001
WQDEC02,12/9/2002
WQDEC03,12/8/2003
WQDEC04,11/29/2004
WQDEC05,12/5/2005
WQDEC06,12/11/2006
WQDEC07,12/5/2007
WQDEC08,11/26/2008
WQDEC09,12/1/2009
WQDEC10,11/29/2010
WQDEC11,11/28/2011
WQDEC12,12/3/2012
WQDEC13,12/2/2013
WQDEC14,12/10/2014
WQDEC15,11/30/2015
WQDEC16,11/30/2016
WQDEC17,11/30/2017
WQDEC18,11/30/2018
WQDEC19,12/4/2019
WQDEC21,12/2/2021
WQDEC92,12/8/1992
WQDEC93,12/15/1993
WQDEC94,12/5/1994
WQDEC95,12/4/1995
WQDEC96,12/2/1996
WQDEC97,12/4/1997
WQDEC98,11/30/1998
WQDEC99,12/6/1999
WQFEB00,2/3/2000
WQFEB01,2/1/2001
WQFEB02,2/4/2002
WQFEB03,1/28/2003
WQFEB04,2/2/2004
WQFEB05,1/31/2005
WQFEB06,2/1/2006
WQFEB07,2/1/2007
WQFEB08,2/4/2008
WQFEB09,2/2/2009
WQFEB10,2/5/2010
WQFEB11,1/31/2011
WQFEB12,2/1/2012
WQFEB13,1/28/2013
WQFEB14,2/3/2014
WQFEB15,2/4/2015
WQFEB16,2/1/2016
WQFEB17,2/7/2017
WQFEB18,2/6/2018
WQFEB19,2/4/2019
WQFEB20,2/3/2020
WQFEB22,2/1/2022
WQFEB91,2/20/1991
WQFEB92,2/4/1992
WQFEB93,2/8/1993
WQFEB94,2/1/1994
WQFEB95,2/8/1995
WQFEB96,2/6/1996
WQFEB97,2/3/1997
WQFEB98,2/2/1998
WQFEB99,2/1/1999
WQJAN00,1/6/2000
WQJAN01,1/8/2001
WQJAN02,1/11/2002
WQJAN03,1/1/2003
WQJAN04,1/5/2004
WQJAN05,1/10/2005
WQJAN06,1/1/2006
WQJAN07,1/11/2007
WQJAN08,1/7/2008
WQJAN09,1/12/2009
WQJAN10,1/5/2010
WQJAN11,1/4/2011
WQJAN12,1/5/2012
WQJAN13,1/9/2013
WQJAN14,1/9/2014
WQJAN15,1/12/2015
WQJAN16,1/7/2016
WQJAN17,1/4/2017
WQJAN18,1/10/2018
WQJAN19,1/2/2019
WQJAN20,1/6/2020
WQJAN91,1/30/1991
WQJAN92,1/7/1992
WQJAN93,1/14/1993
WQJAN94,1/11/1994
WQJAN95,1/4/1995
WQJAN96,1/9/1996
WQJAN97,1/9/1997
WQJAN98,1/5/1998
WQJAN99,1/5/1999
WQJUL00,7/5/2000
WQJUL01,7/6/2001
WQJUL02,7/8/2002
WQJUL03,7/7/2003
WQJUL04,7/6/2004
WQJUL05,7/7/2005
WQJUL06,7/6/2006
WQJUL07,7/9/2007
WQJUL08,6/30/2008
WQJUL09,7/7/2009
WQJUL10,7/8/2010
WQJUL11,7/5/2011
WQJUL12,6/26/2012
WQJUL13,7/1/2013
WQJUL14,6/30/2014
WQJUL15,7/6/2015
WQJUL16,7/5/2016
WQJUL17,7/5/2017
WQJUL18,7/2/2018
WQJUL19,7/1/2019
WQJUL20,7/6/2020
WQJUL21,7/6/2021
WQJUL91,7/8/1991
WQJUL92,7/7/1992
WQJUL93,7/7/1993
WQJUL94,7/5/1994
WQJUL95,7/6/1995
WQJUL96,7/8/1996
WQJUL97,7/8/1997
WQJUL98,7/6/1998
WQJUL99,7/6/1999
WQJUN00,6/1/2000
WQJUN01,6/4/2001
WQJUN02,6/4/2002
WQJUN03,6/3/2003
WQJUN04,6/1/2004
WQJUN05,6/6/2005
WQJUN06,6/6/2006
WQJUN07,6/5/2007
WQJUN08,6/2/2008
WQJUN09,6/4/2009
WQJUN10,5/27/2010
WQJUN11,5/31/2011
WQJUN12,5/29/2012
WQJUN13,6/3/2013
WQJUN14,6/2/2014
WQJUN15,5/28/2015
WQJUN16,6/8/2016
WQJUN17,6/5/2017
WQJUN18,5/30/2018
WQJUN19,5/29/2019
WQJUN20,6/16/2020
WQJUN21,6/3/2021
WQJUN91,6/4/1991
WQJUN92,6/2/1992
WQJUN93,6/1/1993
WQJUN94,6/1/1994
WQJUN95,6/2/1995
WQJUN96,6/3/1996
WQJUN97,6/2/1997
WQJUN98,6/1/1998
WQJUN99,6/1/1999
WQMAR00,3/1/2000
WQMAR01,3/1/2001
WQMAR02,3/1/2002
WQMAR03,3/4/2003
WQMAR04,3/1/2004
WQMAR05,3/7/2005
WQMAR06,3/6/2006
WQMAR07,3/1/2007
WQMAR08,3/3/2008
WQMAR09,3/4/2009
WQMAR10,3/2/2010
WQMAR11,3/8/2011
WQMAR12,3/2/2012
WQMAR13,3/5/2013
WQMAR14,3/4/2014
WQMAR15,3/9/2015
WQMAR16,3/8/2016
WQMAR17,3/6/2017
WQMAR18,3/6/2018
WQMAR19,3/5/2019
WQMAR20,3/9/2020
WQMAR21,3/8/2021
WQMAR91,3/25/1991
WQMAR93,3/8/1993
WQMAR94,3/7/1994
WQMAR95,3/6/1995
WQMAR96,3/5/1996
WQMAR97,3/3/1997
WQMAR98,2/27/1998
WQMAR99,3/3/1999
WQMAY00,5/1/2000
WQMAY01,4/30/2001
WQMAY02,5/6/2002
WQMAY03,5/5/2003
WQMAY04,5/5/2004
WQMAY05,5/5/2005
WQMAY06,5/2/2006
WQMAY07,5/7/2007
WQMAY08,5/5/2008
WQMAY09,4/29/2009
WQMAY10,5/3/2010
WQMAY11,5/2/2011
WQMAY12,5/1/2012
WQMAY13,4/29/2013
WQMAY14,5/6/2014
WQMAY15,4/30/2015
WQMAY16,5/11/2016
WQMAY17,5/1/2017
WQMAY18,5/1/2018
WQMAY19,5/6/2019
WQMAY21,5/4/2021
WQMAY91,5/1/1991
WQMAY92,5/5/1992
WQMAY93,5/5/1993
WQMAY94,5/3/1994
WQMAY95,5/5/1995
WQMAY96,5/9/1996
WQMAY97,5/5/1997
WQMAY98,5/7/1998
WQMAY99,5/5/1999
WQNOV00,11/8/2000
WQNOV01,11/8/2001
WQNOV02,11/5/2002
WQNOV03,11/3/2003
WQNOV05,11/14/2005
WQNOV06,11/6/2006
WQNOV07,11/8/2007
WQNOV08,11/5/2008
WQNOV09,11/3/2009
WQNOV10,11/1/2010
WQNOV11,11/7/2011
WQNOV12,11/13/2012
WQNOV13,11/4/2013
WQNOV14,11/6/2014
WQNOV15,11/6/2015
WQNOV16,11/7/2016
WQNOV17,11/6/2017
WQNOV18,11/5/2018
WQNOV19,11/4/2019
WQNOV20,11/4/2020
WQNOV21,11/4/2021
WQNOV91,11/14/1991
WQNOV92,11/4/1992
WQNOV93,11/2/1993
WQNOV94,11/9/1994
WQNOV95,11/1/1995
WQNOV96,11/5/1996
WQNOV97,11/3/1997
WQNOV98,11/4/1998
WQNOV99,11/2/1999
WQOCT00,10/2/2000
WQOCT01,10/2/2001
WQOCT02,10/8/2002
WQOCT03,10/6/2003
WQOCT04,10/6/2004
WQOCT05,10/6/2005
WQOCT06,10/3/2006
WQOCT07,10/2/2007
WQOCT08,10/6/2008
WQOCT09,10/5/2009
WQOCT10,10/6/2010
WQOCT11,10/4/2011
WQOCT12,10/2/2012
WQOCT13,10/1/2013
WQOCT14,9/30/2014
WQOCT15,10/7/2015
WQOCT16,10/3/2016
WQOCT17,10/6/2017
WQOCT18,10/2/2018
WQOCT19,9/30/2019
WQOCT20,10/6/2020
WQOCT21,10/4/2021
WQOCT91,10/1/1991
WQOCT92,10/6/1992
WQOCT93,10/5/1993
WQOCT94,10/4/1994
WQOCT95,10/2/1995
WQOCT96,10/1/1996
WQOCT97,10/6/1997
WQOCT98,10/5/1998
WQOCT99,9/28/1999
WQSEP00,8/29/2000
WQSEP01,9/4/2001
WQSEP02,9/9/2002
WQSEP03,9/3/2003
WQSEP04,8/31/2004
WQSEP05,8/29/2005
WQSEP06,8/29/2006
WQSEP07,8/28/2007
WQSEP08,9/3/2008
WQSEP09,9/2/2009
WQSEP10,8/31/2010
WQSEP11,8/30/2011
WQSEP12,8/27/2012
WQSEP13,8/27/2013
WQSEP14,9/2/2014
WQSEP15,8/31/2015
WQSEP16,8/29/2016
WQSEP17,8/28/2017
WQSEP18,8/27/2018
WQSEP19,8/27/2019
WQSEP20,9/8/2020
WQSEP21,8/30/2021
WQSEP91,9/4/1991
WQSEP92,9/1/1992
WQSEP93,9/7/1993
WQSEP94,8/29/1994
WQSEP95,9/5/1995
WQSEP96,9/3/1996
WQSEP97,9/2/1997
WQSEP98,8/31/1998
WQSEP99,8/31/1999
